ID,Branch Name,Tier,2017,2016,2015,2014,2013,2012
AG,Agincourt,DL,326233,309511,397421,424457,451500,434320
ACD,Albert Campbell,DL,356374,306164,277118,285428,222012,214076
AB,Albion,DL,260950,205025,194587,401819,432525,522309
AD,Alderwood,NL,97083,98557,101250,102875,96088,88065
AP,Amesbury Park,NL,25865,55587,51313,56313,53300,74678
AN,Annette Street,NL,126645,112097,117375,95263,79655,96885
AH,Armour Heights,NL,73163,66252,67038,67675,68925,67184
BF,Barbara Frum,DL,248990,231117,264647,356077,364175,353141
BY,Bayview,NL,226109,171774,171555,146697,205213,188863
BE,Beaches,NL,213974,184813,185450,186600,215213,235687
BD,Bendale,NL,50632,56907,65550,72650,72446,62326
BC,Black Creek,NL,102627,105966,89425,91963,82713,95843
BL,Bloor Gladstone,DL,360508,358268,362150,355250,367025,373581
BR,Brentwood,DL,267983,244950,232857,234008,247650,40479
BRW,Bridlewood,NL,429296,417130,380100,420963,399650,392397
BB,Brookbanks,NL,73732,70325,75938,93375,60825,61252
BUR,Burrows Hall,NL,84899,91393,99100,107200,144500,151087
CED,Cedarbrae,DL,384227,358762,352780,366123,405263,415753
CE,Centennial,NL,177412,121588,118613,125613,138425,143138
CH,City Hall,NL,195475,195292,197250,201288,219213,215588
CC,Cliffcrest,NL,65757,67930,79300,80175,80800,89195
CS,College Shaw,NL,103458,101879,123950,112413,112175,120622
DA,Danforth Coxwell,NL,175012,171150,158113,146013,158188,168594
DT,Davenport,NL,34954,35297,39975,42150,39263,40644
DR,Dawes Road,NL,96392,99190,114925,121325,123463,133892
DP,Deer Park,NL,281482,278483,247425,275813,225188,229132
DM,Don Mills,DL,257738,254488,267097,280151,239838,248880
DO,Downsview,NL,230231,203050,174447,168733,153000,339600
DU,Dufferin St. Clair,NL,103822.125,101840,105000,106788,121688,117090
EA,Eatonville,NL,238477,236654,226512,223854,214193,205341
ES,Eglinton Square,NL,131313,106859,202550,205025,217688,220158
EB,Elmbrook Park,NL,48985,46530,45000,49750,55800,54894
EG,Evelyn Gregory,NL,48477,46781,52900,56200,60925,51552
FV,Fairview,DL,566666,508367,426072,191404,0,442214
FP,Flemingdon Park,NL,156265,174592,191338,146247,150363,150663
FH,Forest Hill,NL,117222,106422,101125,93575,90188,93424
FO,Fort York,NL,169371,177216,180200,96613,,
GE,Gerrard Ashdale,NL,104259,96560,94525,95775,99125,104885
GHP,Goldhawk Park,NL,175028,176441,179312,202833,184713,205973
GW,Guildwood,NL,62890,58348,45763,45950,51138,58289
HP,High Park,NL,203854,202310,185788,194450,235163,164444
HC,Highland Creek,NL,60785,62563,69713,81538,60375,80642
HIL,Hillcrest,NL,116053,117481,108500,128975,222063,150059
HB,Humber Bay,NL,46188,44932,51825,66263,53538,59603
HS,Humber Summit,NL,24575,57649,46888,49413,48263,51300
HW,Humberwood,NL,120153,137850,109813,161325,212738,209196
JD,Jane Dundas,NL,163511,156668,150800,158938,168775,165105
JS,Jane Sheppard,NL,87221,93651,103250,94250,115425,95315
JO,Jones,NL,81100,80960,75850,80275,75250,87163
KE,Kennedy Eglinton,NL,92895,85665,110675,106838,117338,117782
LE,Leaside,NL,157550,154887,147050,144900,160863,134816
LHS,Lillian H. Smith,DL,319555,325330,317780,352151,354888,370557
LO,Locke,NL,215365,186093,169263,179275,179513,181942
LB,Long Branch,NL,50700,55912,53775,55625,54113,53681
MA,Main Street,NL,120433,111808,116263,123450,107346,127129
MAL,Malvern,DL,331664.9048,344174,362833,347883,385150,358262
MAS,Maria A. Shchuka,DL,234462,227657,205793,197358,208021,242057
MRV,Maryvale,NL,157983,200836,167575,151875,150788,168413
MCG,McGregor Park,NL,127230,132229,125177,123663,128400,132919
MI,Mimico Centennial,NL,92721,97324,94488,94434,83468,93400
MS,Morningside,NL,100673.625,100728,91163,124575,135475,119263
MD,Mount Dennis,NL,88386,82285,80588,82625,57388,0
MP,Mount Pleasant,NL,59793,65472,62863,63575,72363,66278
NT,New Toronto,NL,59211,58543,73324,91293,88600,88266
ND,Northern District,DL,391543,359402,306319,299729,328400,407488
NE,Northern Elms,NL,34143,32959,35163,34300,41188,39158
OV,Oakwood Village Library and Arts Centre,NL,94240,83694,72713,86450,84013,79205
PM,Palmerston,NL,112115,106329,93588,109425,115625,119602
PA,Pape Danforth,DL,233308,233564,229683,239357,257275,279483
PK,Parkdale,NL,337974,348261,430586,348589,345738,315734
PL,Parliament Street,NL,227666,234508,245031,198530,208063,205094
PE,Perth Dupont,NL,53451,45680,34938,43838,40100,35235
PV,Pleasant View,NL,79549,77446,74638,100388,186250,103343
PU,Port Union,NL,86237,96294,107850,117025,127775,134834
QS,Queen Saulter,NL,71094,65434,58850,65850,70725,60209
RX,Rexdale,NL,50646,50327,53825,51613,46325,45502
RI,Richview,DL,252083,292326,422923,553673,409390,421962
RD,Riverdale,NL,194268,191902,198713,203900,226400,231360
RN,Runnymede,NL,151817,283375,473488,364788,283238,325843
SWS,S. Walter Stewart,DL,262097,247238,244873,254470,262125,254166
SA,Sanderson,NL,228745,231176,250775,268350,290300,352949
SC,Scarborough Civic Centre,NL,193914,172474,83038,0,,
SP,Spadina Road,NL,85114,85017,88788,78683,78583,92352
SI,St. Clair Silverthorn,NL,24915,30081,29788,31188,31100,41997
SJ,St. James Town,NL,169242.25,174275,177063,182788,192963,198384
SL,St. Lawrence,NL,118778,113547,103806,110738,114900,99144
ST,Steeles,NL,156659,166812,161988,145800,160538,210047
SW,Swansea Memorial,NL,38627,20002,17988,17575,19688,20256
TA,Taylor Memorial,NL,35466,39780,41388,36263,36375,40929
TH,Thorncliffe,NL,197227,214286,189550,194913,203338,205064
TOD,Todmorden Room,NL,28939,24386,28400,25938,17500,21401
VV,Victoria Village,NL,43446,41497,32275,37750,41950,65984
WE,Weston,NL,92943,98249,89225,94875,87500,84777
WS,Woodside Square,NL,402862,436847,405225,439963,471800,488396
WP,Woodview Park,NL,58297,53235,41450,37725,30575,35561
WY,Wychwood,NL,133540,141123,116525,105900,114613,107079
YW,York Woods,DL,200531,207041,220492,225983,208388,212775
YO,Yorkville,NL,152520,147187,157850,177013,191050,208985
TRL,Toronto Reference Library,RR,1604864,1434854,1310779,1247697,1226659,1137016
MC,Merril Collection,RR,13069,10148,8113,9163,8300,7612
OC,Osborne Collection,RR,16250.09091,12453,4813,6800,5825,9372
NYCL,North York Central,RR,342972,1337872,1538044,1561767,1690775,1493796
SH,Sunnybrook Hospital,CWS,20808,18673,15550,15950,19200,21484
