ID,Branch Name,Tier,Child2017,Teen2017,Adult2017,Child2016,Teen2016,Adult2016,Child2015,Teen2015,Adult2015,Child2014,Teen2014,Adult2014,Child2013,Teen2013,Adult2013,Child2012,Teen2012,Adult2012
AG,Agincourt,DL,118331,20970,481925,132615,23751,555648,157539,33468,652665,180560,39627,714261,220161,49497,783772,221916,53007,786514
ACD,Albert Campbell,DL,58662,16352,263052,61193,16258,283059,72100,17354,290998,79467,19225,299332,82266,23184,314891,91027,25761,329835
AB,Albion,DL,72912,16748,219971,66304,16076,218227,81284,22593,249887,95290,27688,275270,120988,38986,306802,144087,42712,328436
AD,Alderwood,NL,41313,2112,115158,40366,2205,122306,41472,2869,124681,46786,3990,125814,47772,3507,127309,50333,3862,116855
AP,Amesbury Park,NL,10913,1315,42970,22678,3707,80386,25862,3911,91210,28756,7871,104609,29411,12639,109141,34469,15573,113856
AN,Annette Street,NL,37666,2857,209904,34317,3266,185826,35753,2981,182416,35709,2234,154232,37990,3822,170470,45359,4670,190597
AH,Armour Heights,NL,33337,3630,165661,25725,4615,163175,27142,5090,166015,34365,4884,152819,39341,5684,162379,37516,5889,161085
BF,Barbara Frum,DL,102755,19084,405674,99142,20063,427078,112447,21921,449087,119939,25342,439822,126154,28628,458500,148213,34279,465413
BY,Bayview,NL,79362,8569,367179,66120,8809,338940,64235,7670,303084,81736,9044,362087,91007,13048,395480,87217,12106,334329
BE,Beaches,NL,30616,3596,279812,29720,3239,299453,28126,4054,324177,31126,4737,311529,35970,3789,309205,40014,3891,297995
BD,Bendale,NL,18860,3755,100977,24876,4676,111930,26705,5557,114857,30966,5305,124730,34030,7631,142823,43396,10214,146519
BC,Black Creek,NL,17352,2329,77687,18707,3243,81671,20056,4278,85253,24460,5547,84505,23358,5709,81301,30133,10782,97457
BL,Bloor Gladstone,DL,53772,7367,327226,57618,8553,344817,60845,12239,373362,62649,13580,365972,75589,14297,387400,85032,15182,379735
BR,Brentwood,DL,58634,6486,367960,56262,6888,357802,58989,8929,343211,59132,12050,334779,71222,12894,335974,19377,3813,82811
BRW,Bridlewood,NL,74015,13484,298002,71820,16736,331687,82681,17722,348796,97312,19378,377102,107590,27800,387154,112235,32173,374317
BB,Brookbanks,NL,31019,6229,124143,31717,6399,128791,35229,7018,137018,37620,7475,146672,39891,10912,152489,44636,10674,146844
BUR,Burrows Hall,NL,30467,8948,102016,32290,9877,113571,41385,11810,125457,46681,9962,136951,52800,12577,142374,53881,15515,149490
CED,Cedarbrae,DL,94029,20029,316772,103247,24991,357145,124709,29087,368458,140046,34940,409188,164117,45062,450616,197098,50354,483605
CE,Centennial,NL,55468,9701,241942,40834,8514,226794,42589,10506,238456,47542,12909,251253,58108,18714,272683,61152,16581,270724
CH,City Hall,NL,14025,1379,284060,15685,889,320604,14804,869,326843,14172,1094,345159,14574,1116,366200,19395,1337,363749
CC,Cliffcrest,NL,20643,3302,118437,23824,4189,136308,25381,4677,143244,27959,4311,142631,29823,6611,156986,30042,7559,157698
CS,College Shaw,NL,17451,2876,169088,17607,3610,169558,18835,2903,172317,21572,2353,170379,26618,2186,185312,26811,3113,185989
DA,Danforth Coxwell,NL,36804,4235,236371,37745,4717,260310,39050,5249,252272,42002,5699,258756,47774,7033,264501,46767,7795,252652
DT,Davenport,NL,16274,1314,102048,18590,1245,106164,19535,1380,105828,21401,2093,97152,23095,1527,95813,26263,2324,94586
DR,Dawes Road,NL,37339,8659,140975,41465,9427,146897,47474,8699,149478,52183,10585,144890,63208,11276,160835,63470,11708,150117
DP,Deer Park,NL,21218,2337,372226,22181,3036,388204,23195,2296,395960,24615,2093,382973,24314,2816,380176,28574,3320,369549
DM,Don Mills,DL,85286,9959,470458,86719,11524,520771,91146,12372,524382,90701,14893,495057,99017,20121,510997,117687,23865,544065
DO,Downsview,NL,29737,7320,164457,28057,7489,175129,31285,8519,185164,35953,9031,196073,46123,10836,208693,49307,14301,208058
DU,Dufferin St. Clair,NL,22584,2591,123981,20416,3096,122428,21195,4053,126013,22358,4106,119604,25666,4795,120918,33360,5169,115780
EA,Eatonville,NL,65713,6976,428935,57931,9628,441367,66169,10478,441072,73443,13345,424957,72943,16445,392131,86586,17533,426369
ES,Eglinton Square,NL,19362,3413,101011,12650,2582,112234,29263,5342,214674,31795,6033,222281,33865,7592,241594,37882,9175,239245
EB,Elmbrook Park,NL,21599,3992,102446,24632,3541,121650,26978,3955,127286,29040,5403,132795,32415,5600,146169,35332,6932,140796
EG,Evelyn Gregory,NL,11768,3325,52243,15223,3090,61075,15686,4070,61451,19252,5684,58394,17652,5645,59488,23130,7498,64793
FV,Fairview,DL,162083,24020,542323,163575,22950,565389,181589,26806,597430,167560,28148,502067,47003,8729,130420,213434,42614,634711
FP,Flemingdon Park,NL,29747,4583,80414,36810,6622,96754,38647,8368,101813,42582,10472,100676,52167,14000,107388,55767,16263,115996
FH,Forest Hill,NL,24846,3725,160816,23111,4117,172782,24103,5076,169301,27544,4771,172958,30569,5719,179683,33714,6321,187108
FO,Fort York,NL,27230,957,193226,22174,1284,198550,27008,1023,191400,18418,1838,111933,0,0,0,0,0,0
GE,Gerrard Ashdale,NL,27455,3121,146995,26050,3879,157945,29393,2696,151881,30912,3631,147560,34867,4872,154344,39866,6173,157093
GHP,Goldhawk Park,NL,49589,7797,169466,53920,9814,185378,65365,9628,189758,73820,12370,200111,80376,15257,213992,87983,18694,227327
GW,Guildwood,NL,17937,2964,93725,15606,1877,101591,14748,2607,104064,17216,3651,103860,19855,4253,110629,23011,5403,120138
HP,High Park,NL,38532,4568,274478,38307,4616,289208,42186,3556,282227,44873,4061,285620,48357,5112,293676,45434,5705,257848
HC,Highland Creek,NL,26500,7105,122130,26608,6850,131595,30978,6096,142070,38652,6813,146592,42046,8364,153838,46175,9283,163058
HIL,Hillcrest,NL,63732,7629,238057,63184,9875,243903,69189,10520,260749,82719,13745,267083,108921,20810,338388,85471,22119,253375
HB,Humber Bay,NL,17189,2143,148009,16985,3533,153634,15497,4398,152331,16132,5021,160071,17821,7450,160574,25394,6738,160294
HS,Humber Summit,NL,4156,948,31016,9446,1903,58496,10128,2826,60862,13848,2654,61957,19080,3828,66545,21608,2900,72691
HW,Humberwood,NL,18301,1947,42741,24227,2011,45108,28775,3825,50085,28123,4641,57843,35322,6088,59915,37193,6891,62741
JD,Jane Dundas,NL,48628,5995,240846,44588,5996,228177,41264,8088,224725,47398,9471,228341,56727,9941,223532,64930,11890,223456
JS,Jane Sheppard,NL,16015,3052,65959,21804,4078,78790,26581,5154,88653,29812,6232,92696,36564,7025,96413,35062,8653,97551
JO,Jones,NL,23489,2237,142010,24475,2630,154246,24091,3573,149696,22467,4647,151694,28104,5642,152096,26732,6901,148146
KE,Kennedy Eglinton,NL,40102,5327,109644,42730,7923,121771,53048,7964,126989,51117,8467,134707,56206,11315,146502,58772,14217,150026
LE,Leaside,NL,50073,6514,291985,48917,5432,312374,49035,6472,310002,55152,6138,301529,60699,8266,296004,66169,7460,290007
LHS,Lillian H. Smith,DL,39186,5724,307637,37329,4913,344809,36003,5516,351376,41235,7095,382848,46352,9982,438974,55089,10595,434131
LO,Locke,NL,56756,5003,290389,48574,5534,285148,51386,5336,279957,55958,6389,285094,66091,7602,282769,67086,8497,276324
LB,Long Branch,NL,15989,1438,111111,17601,1567,124136,17254,1990,123598,17813,2649,118100,17979,2198,115580,19915,3006,119194
MA,Main Street,NL,31914,4379,212237,32293,2755,228292,37306,3968,215098,38748,4359,209890,41652,4959,208114,49757,6097,222255
MAL,Malvern,DL,77929,14787,241353,88250,18710,267717,102292,21967,279874,118991,25541,298229,135987,30552,341097,143302,39694,351398
MAS,Maria A. Shchuka,DL,41030,5529,164629,44455,6022,180077,48091,9388,190915,44353,7578,180930,47962,11265,190134,59473,16070,209333
MRV,Maryvale,NL,23613,5591,158537,29593,5996,172302,35852,9032,179641,34420,10221,195276,38463,9981,210152,40810,11542,214150
MCG,McGregor Park,NL,49557,7664,119644,52579,8482,135465,58173,9086,150379,63816,9627,161111,69028,13131,173864,73194,13007,183514
MI,Mimico Centennial,NL,23399,2037,153530,22430,2264,162776,24794,3094,157533,26789,4005,138633,32445,5736,149886,39549,7429,169943
MS,Morningside,NL,28039,4964,128127,30446,6168,140604,33266,7169,143250,34979,9696,144980,43381,11512,161651,47889,12090,157515
MD,Mount Dennis,NL,18977,3104,86528,21252,4005,81138,21834,5264,84766,25795,5490,83517,26731,5917,72481,1931,840,6409
MP,Mount Pleasant,NL,18632,747,135975,17156,1344,142906,15429,2301,134746,14902,3148,134267,17356,3218,138900,21346,3945,138387
NT,New Toronto,NL,18846,1886,104651,18385,2274,111128,17171,2998,109749,21038,3574,102931,22895,4596,109250,28136,4126,113888
ND,Northern District,DL,40760,6905,409262,37840,7569,413009,35374,8641,409568,36237,9433,418783,43241,14063,435583,48556,15171,426267
NE,Northern Elms,NL,12841,2268,61753,13868,2034,64635,13895,2514,67432,15605,3247,70965,18147,3925,73371,17950,5336,67079
OV,Oakwood Village Library and Arts Centre,NL,21433,2090,94054,21467,2101,100400,23583,3258,105878,25703,3023,103325,25871,3497,103640,29432,5697,93156
PM,Palmerston,NL,21914,1166,171072,26521,2039,189536,24523,2441,188490,27449,2499,188429,28478,2822,191370,34089,3539,182980
PA,Pape Danforth,DL,39413,6858,340694,41074,7547,370807,47487,6059,372277,52381,6672,365372,61448,8802,367611,75255,11273,350090
PK,Parkdale,NL,36894,6051,314756,39194,8656,334210,43951,11176,330172,49189,10257,313096,55637,9916,305859,62754,11611,301556
PL,Parliament Street,NL,15861,3740,184104,18079,4495,203913,21960,6702,211413,25413,8504,205066,31181,11238,214620,40503,10978,210495
PE,Perth Dupont,NL,11511,716,80392,11068,843,82124,11451,1758,78172,14852,2627,73676,12212,3093,72259,14998,3024,68066
PV,Pleasant View,NL,53509,4839,132105,58251,5304,146302,56084,6542,149216,64639,9212,164901,102805,15282,246305,72378,13294,171190
PU,Port Union,NL,37092,5720,160414,37449,6964,177638,37741,7047,182536,38420,8335,184285,45295,8732,195991,48247,10892,195667
QS,Queen Saulter,NL,14834,1201,97234,14675,774,106047,15694,879,105621,15252,1347,99254,15594,1543,97142,15068,1675,92250
RX,Rexdale,NL,9132,2937,67041,10380,3678,62822,13686,5105,63769,14056,4884,61706,16943,7920,67527,20687,8271,68223
RI,Richview,DL,88228,14114,437145,104824,18727,512062,100410,18282,504386,80960,20799,497410,105351,26354,538041,162150,33493,596031
RD,Riverdale,NL,26644,4649,207485,25382,5365,234326,23628,7553,250167,25598,10332,270251,34747,9045,260297,39004,10422,288749
RN,Runnymede,NL,31908,3606,245534,44652,5138,415721,44653,4408,413208,46370,5000,397278,47711,6948,403160,53328,8412,408892
SWS,S. Walter Stewart,DL,52025,5361,350433,49805,4322,352356,59383,4471,351708,61140,6259,357962,74063,8497,370561,82340,11156,366068
SA,Sanderson,NL,28581,3255,161586,28589,4230,179961,37464,5647,192289,43883,8313,212377,54125,8710,229365,66747,9990,234816
SC,Scarborough Civic Centre,NL,39232,5601,134481,37056,4859,137275,31239,4157,113793,0,0,0,0,0,0,0,0,0
SP,Spadina Road,NL,17636,1045,157347,12722,1118,173944,12616,1588,166647,13582,991,146521,15673,1956,160867,17134,2176,176809
SI,St. Clair Silverthorn,NL,9687,486,40410,9807,1556,46167,8369,2319,47872,9281,4301,45137,12144,4328,44930,12790,2798,49877
SJ,St. James Town,NL,17715,2622,202914,24111,2567,226901,29023,3094,226575,32310,5699,243744,36528,7994,252646,43295,10714,247022
SL,St. Lawrence,NL,12349,1029,202037,11862,1541,208075,12595,1314,178285,14154,2152,202775,15243,2463,201534,17635,2923,180040
ST,Steeles,NL,52743,5763,180114,53796,6903,196227,54666,7888,204779,44275,10690,170165,60709,18126,244309,64754,20473,252794
SW,Swansea Memorial,NL,9553,922,57666,6145,1071,35866,5514,1430,39740,6212,2002,36681,6721,1962,35718,7941,1429,35998
TA,Taylor Memorial,NL,10068,806,83857,10276,464,105174,13761,1056,112374,12779,1458,119054,14737,1687,120943,15690,2130,113151
TH,Thorncliffe,NL,56373,9664,102138,52322,10574,115619,62079,12151,118615,66990,14924,122931,77095,17798,136363,79826,19793,132280
TOD,Todmorden Room,NL,6598,734,44620,6750,787,45717,7233,747,51807,7622,1143,47396,10581,1429,45775,12850,1386,41155
VV,Victoria Village,NL,18612,1567,79247,18783,1834,87194,22763,2382,80869,23701,3105,78138,27755,4401,84918,28486,5703,83756
WE,Weston,NL,18633,3416,106394,19842,4357,110841,20052,4598,110910,24775,6548,105812,29855,6814,111958,34989,9937,140574
WS,Woodside Square,NL,77267,12562,250661,81385,16260,289976,98648,20202,293928,109498,28210,320178,127435,35714,357580,130735,43119,368487
WP,Woodview Park,NL,10236,3027,54675,12101,3245,54538,16344,2963,57974,16004,2676,61079,19876,4143,63505,23090,4821,62400
WY,Wychwood,NL,22237,963,209775,20592,1071,221336,18810,1933,215228,18595,2846,186871,24374,2807,212066,28083,3614,212042
YW,York Woods,DL,35352,9957,154456,38889,11737,171767,48395,17623,180322,58508,22138,209585,63936,22989,220022,74755,27566,235836
YO,Yorkville,NL,21643,1881,263200,20764,2872,278463,20632,3355,295584,20598,2672,301158,20190,1841,303268,25077,2399,299673
TRL,Toronto Reference Library,RR,3489,2612,398836,2894,2233,415732,1592,2105,409246,1558,1896,383074,1650,2468,368692,2339,2764,350264
AL,Answerline,RR,5920,711,36295,5433,582,39011,6065,818,40514,7682,1021,45586,9488,1152,45856,8946,1177,44462
NYCL,North York Central Library,RR,74691,12745,510460,164801,39477,1118040,214407,45842,1311230,214082,51380,1347234,239272,66145,1430526,238349,66717,1398280
